RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm,2MASSRA,2MASSDEC,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,
359.9061204,-8.8376156,0.12063,0.00614,0.0145,0.0145,15.239,0.019,14.664,0.022,,,,,,,,,
0.2951462,-9.5377627,0.46477,-0.28417,0.0977,0.0943,18.556,0.2,16.111,0.072,,,,,,,,,
0.0022392,-15.5800395,-0.0066,0.26086,0.06524,0.0038,9.416,0.011,9.222,0.008,0.001162,-15.580398,10.474,0.0231,9.899,0.0246,9.627,0.0197,
359.6105229,-15.8828579,0.1283,-0.04228,0.0145,0.0136,14.898,0.018,14.948,0.034,359.610109,-15.88272,15.785,0.0671,15.239,0.0718,14.869,0.0926,
359.2260407,-15.8893802,-0.43102,-0.69168,0.0149,0.0148,15.574,0.028,13.83,0.022,359.22821,-15.886426,15.824,0.0574,15.63,0.1,15.771,0.1831,
359.2262667,-15.8890041,-0.50104,-0.79827,0.0242,0.0251,16.313,0.036,14.551,0.022,,,,,,,,,
359.973032,-28.165985,-0.0067,-0.2852,0.0333,0.0357,17.051,0.055,15.034,0.031,,,,,,,,,
0.5730951,-29.6552676,0.13613,-0.00823,0.0094,0.0087,14.302,0.014,14.119,0.016,0.572648,-29.655226,15.248,0.0473,14.687,0.0493,14.408,0.0685,
359.9998388,-30.0244753,0.32629,-0.3001,0.0099,0.0093,14.405,0.015,14.196,0.018,359.998365,-30.023087,15.328,0.0437,14.838,0.0695,14.465,0.0892,
0.3927497,-33.2114349,0.20955,-0.02961,0.014,0.0129,15.16,0.018,14.851,0.025,0.391804,-33.211315,16.067,0.0953,15.41,0.1307,15.343,0.2074,
359.9551765,-33.0254251,0.17384,-0.09089,0.0195,0.0173,15.554,0.02,15.297,0.035,359.955047,-33.024994,17.067,0.2041,15.98,0.1409,16.033,0.3529,
0.059892,-33.2044786,0.09241,-0.25179,0.0274,0.0257,16.037,0.027,15.741,0.058,,,,,,,,,
0.2036675,-35.1589444,-0.11358,-0.12509,0.0105,0.0096,14.619,0.015,14.499,0.02,0.204191,-35.158459,15.475,0.0516,14.918,0.0678,14.63,0.0919,
0.6675439,-34.2303859,0.17305,-1.03842,0.0148,0.0151,14.854,0.017,14.74,0.026,,,,,,,,,
0.546306,-43.1665929,0,0,0.1044,0.0977,18.901,,18.31,,,,,,,,,,
359.1867964,-48.2490215,0.49421,-0.24334,0.0924,0.0876,18.843,0.214,16.066,0.057,,,,,,,,,
0.4978132,-49.4362663,-0.00775,-0.10673,0.0085,0.0075,14.202,0.012,14.001,0.014,0.498126,-49.435886,15.224,0.0458,14.627,0.0634,14.437,0.0723,
1.1950526,-55.8713976,0.12005,-0.02465,0.0087,0.0079,14.369,0.013,14.199,0.016,1.194495,-55.871334,15.385,0.0538,14.847,0.069,14.636,0.0919,
359.656057,-55.4997535,0.18222,0.02216,0.0133,0.0125,15.199,0.016,14.91,0.023,359.655014,-55.499844,16.437,0.115,15.821,,15.918,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
0.6436946,-59.314673,0.13808,-0.02914,0.0084,0.0077,14.505,0.013,14.286,0.015,0.642805,-59.314606,16.34,0.1285,15.541,0.119,14.87,0.1136,
359.9604554,-62.3483214,0.12386,0.0118,0.0082,0.0071,14.204,0.013,14.016,0.014,359.959757,-62.348431,15.098,0.0399,14.449,0.0499,14.193,0.0685,
359.3048902,-63.1409354,-0.03229,0.04222,0.0038,0.0034,9.798,0.012,9.573,0.007,359.305396,-63.14119,10.831,0.0226,10.272,0.0215,9.997,0.0228,
358.9727529,-67.0034857,0.13871,-0.02103,0.0091,0.0081,14.654,0.014,14.465,0.016,358.971878,-67.003433,15.694,0.0658,15.132,0.1049,14.571,0.0945,
359.8124547,-70.1848442,0.11487,-0.01906,0.008,0.007,14.266,0.014,14.06,0.013,359.811181,-70.184814,15.249,0.0512,14.69,0.0793,14.547,0.0978,
358.8305092,-69.7332805,0.12628,0.00197,0.0089,0.0076,14.41,0.014,14.27,0.015,358.829354,-69.73336,15.394,0.052,14.765,0.0801,14.547,0.084,
1.9599991,-70.9914949,0.10713,-0.00585,0.0097,0.0085,14.628,0.015,14.476,0.016,1.959035,-70.991554,15.589,0.0512,14.964,0.0627,14.709,0.0915,
0.197545,-76.5169744,0.13737,0.01828,0.0084,0.0076,14.476,0.014,14.246,0.013,0.195859,-76.517059,15.454,0.0624,14.976,0.0876,14.591,0.1105,
2.8169396,-79.8116072,0.13343,-0.03247,0.0085,0.0078,14.298,0.016,14.127,0.014,2.815132,-79.811462,15.395,0.0536,14.81,0.0647,14.707,0.1185,
1.7414732,-81.1652272,0.15569,-0.02697,0.0139,0.0125,15.377,0.018,15.253,0.029,1.737546,-81.165131,16.368,0.1164,15.553,0.149,15.079,0.1555,
4.5913376,-82.1203964,0,0,0.0342,0.0073,17.996,,17.479,,,,,,,,,,
4.61833,-82.120418,0,0,0.2107,0.4928,18.973,,18.105,,,,,,,,,,
3.52157,-83.4286524,0.09342,-0.01097,0.0074,0.0067,14.256,0.013,14.071,0.014,3.51872,-83.428627,15.537,0.0586,14.831,0.0801,14.418,0.0844,
356.0364412,-82.782537,1.03437,-0.10073,0.0363,0.0284,16.402,0.033,16.759,0.105,,,,,,,,,
0.2950335,-86.1304147,0.11817,-0.13848,0.0111,0.0103,15.011,0.016,14.917,0.021,0.287557,-86.129768,16.107,0.0959,15.292,0.0913,14.943,0.1483,
359.4947403,25.8935638,-0.02638,-0.21359,0.0231,0.0211,15.722,0.022,15.457,0.04,,,,,,,,,
0.5472693,31.3832964,0.04565,-0.21324,0.0094,0.0089,14.426,0.015,14.403,0.017,0.547205,31.384308,15.305,0.0592,14.781,0.0803,14.562,0.0989,
359.960258,47.7619825,1.48964,-0.34956,0.0138,0.012,17.859,,17.607,,,,,,,,,,
0.6248273,63.871387,0.81594,0.09881,0.063,0.0584,18.208,0.214,15.733,0.052,,,,,,,,,
358.6488825,74.9426407,0.08337,0.12542,0.0119,0.0105,14.899,0.079,14.653,0.066,358.647775,74.942123,15.651,0.0869,15.13,0.1237,14.705,0.1405,
1.9621828,75.6078636,0.26671,-0.16528,0.013,0.0103,14.982,0.016,14.761,0.02,1.957015,75.608582,16.788,0.1675,15.663,0.1117,15.357,0.1691,
1.3736241,-13.5424838,0.05686,-0.26965,0.0151,0.0153,15.1,0.018,15.078,0.032,1.373357,-13.541515,16.086,0.0904,15.413,0.0913,15.549,0.1908,
1.0577463,-17.4685211,0.01652,-0.15213,0.0131,0.0133,14.939,0.018,14.812,0.027,1.057875,-17.467833,15.848,0.0648,15.303,0.1087,15,0.1119,
2.2071465,-17.6569328,-0.13567,-0.43019,0.0333,0.0354,16.826,0.05,14.978,0.031,,,,,,,,,
2.1847498,1.4574768,-0.03458,-0.42776,0.03,0.0312,16.707,0.043,14.831,0.027,,,,,,,,,
1.0583756,4.7399277,-0.14526,-0.2927,0.0252,0.0266,16.018,0.028,15.403,0.039,,,,,,,,,
1.5966641,18.0023762,0.19281,-0.30709,0.0298,0.0285,15.876,0.029,15.699,0.05,1.595639,18.003719,16.179,0.1009,15.416,,15.617,,
1.5196155,-19.0978112,0.38069,-0.07693,0.0385,0.0394,17.081,0.06,15.107,0.036,,,,,,,,,
1.0633824,-21.6188116,-0.17154,-0.25882,0.054,0.0517,17.76,0.11,15.487,0.043,,,,,,,,,
1.7752637,-23.3334297,0.13348,-0.00131,0.0173,0.0155,15.301,0.019,15.181,0.033,1.774503,-23.333439,16.46,0.1159,15.892,0.148,15.602,0.2223,
2.1861532,-26.7498411,0.12107,-0.05381,0.01,0.0088,14.26,0.014,14.087,0.016,2.185708,-26.749626,15.202,0.0405,14.53,0.0519,14.433,0.0745,
2.5276228,-31.7412683,0.1809,-0.0007,0.013,0.0117,14.88,0.017,14.656,0.022,2.52677,-31.741245,16.27,0.0906,15.442,0.1064,15.171,0.1544,
1.85361,-31.4793058,0.27939,-0.3085,0.0172,0.0164,15.37,0.02,15.246,0.035,1.85227,-31.477915,16.31,0.097,15.47,0.1269,15.516,0.2233,
