upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err
1,161.5715240,23.2457119,3.1558300,161.5722614,23.2462681,14.336910,0.003865
1,161.5715240,23.2457119,0.3128617,161.5714299,23.2457211,15.992447,0.010017
2,160.2575083,58.7095666,0E+00,0E+00,0E+00,0E+00,0E+00
3,161.6827137,-12.9284650,0E+00,0E+00,0E+00,0E+00,0E+00
4,161.1908416,-14.2154060,0E+00,0E+00,0E+00,0E+00,0E+00
5,161.0144089,21.0858642,0.1631936,161.0144158,21.0858193,16.382786,0.014875
6,161.9663712,21.4041472,1.9530273,161.9668393,21.4044703,15.458193,0.007980
7,161.2391316,-6.9814010,0E+00,0E+00,0E+00,0E+00,0E+00
8,162.0756402,-19.4263547,0E+00,0E+00,0E+00,0E+00,0E+00
9,161.1863720,20.3656093,9.5889262,161.1868365,20.3629815,17.133694,0.021528
9,161.1863720,20.3656093,0.2930293,161.1864196,20.3656774,15.530947,0.006972
10,161.6928320,-41.7780324,0E+00,0E+00,0E+00,0E+00,0E+00
11,161.3279862,-41.7135891,0E+00,0E+00,0E+00,0E+00,0E+00
12,161.5681339,30.0970277,0.2189114,161.5682039,30.0970222,16.708680,0.018452
13,161.1615593,-1.8915647,0E+00,0E+00,0E+00,0E+00,0E+00
14,160.9372897,-44.9142180,0E+00,0E+00,0E+00,0E+00,0E+00
15,161.7017946,-0.2798213,0E+00,0E+00,0E+00,0E+00,0E+00
16,161.8582622,45.8377437,0.1490893,161.8582876,45.8377811,15.558788,0.007803
17,161.8179874,-47.7953579,0E+00,0E+00,0E+00,0E+00,0E+00
18,162.2362812,-71.5605345,0E+00,0E+00,0E+00,0E+00,0E+00
19,162.7642445,-50.8798938,0E+00,0E+00,0E+00,0E+00,0E+00
20,162.5765192,-68.5152193,0E+00,0E+00,0E+00,0E+00,0E+00
21,163.1404263,40.7205496,0.3259781,163.1404096,40.7206393,16.298658,0.014698
22,162.6989204,50.9348766,0E+00,0E+00,0E+00,0E+00,0E+00
23,162.6868539,-9.3496485,0E+00,0E+00,0E+00,0E+00,0E+00
24,162.5527479,8.8547939,0E+00,0E+00,0E+00,0E+00,0E+00
25,162.5434331,-6.6545749,0E+00,0E+00,0E+00,0E+00,0E+00
26,160.5991480,-83.8229965,0E+00,0E+00,0E+00,0E+00,0E+00
27,163.0182681,6.2916952,0E+00,0E+00,0E+00,0E+00,0E+00
28,163.8039421,-55.3170783,0E+00,0E+00,0E+00,0E+00,0E+00
29,162.8803257,-14.6714326,0E+00,0E+00,0E+00,0E+00,0E+00
30,163.2027509,15.8425894,0.2599249,163.2027004,15.8426429,17.250961,0.020500
31,162.6043086,53.1596735,0.0969740,162.6042862,53.1596969,18.060211,0.052558
32,163.1225129,-28.8519162,0E+00,0E+00,0E+00,0E+00,0E+00
33,163.5880087,22.4324226,0.8493220,163.5881106,22.4326389,17.025013,0.025011
34,162.6896494,28.1197067,4.0763968,162.6901491,28.1207498,13.373199,0.002219
34,162.6896494,28.1197067,4.2013873,162.6901392,28.1207908,13.366496,0.002214
35,162.3351747,-14.3393253,0E+00,0E+00,0E+00,0E+00,0E+00
36,162.5442304,-14.0769539,0E+00,0E+00,0E+00,0E+00,0E+00
37,163.2540162,-13.7494297,0E+00,0E+00,0E+00,0E+00,0E+00
38,162.8752795,-21.6501076,0E+00,0E+00,0E+00,0E+00,0E+00
39,162.4327902,10.0118230,0E+00,0E+00,0E+00,0E+00,0E+00
40,162.7356852,21.7348546,0.1137889,162.7356651,21.7348801,18.617481,0.087855
41,163.2418066,-19.7144075,0E+00,0E+00,0E+00,0E+00,0E+00
42,162.6535383,-25.7909251,0E+00,0E+00,0E+00,0E+00,0E+00
43,162.8664544,18.2770828,0.5662067,162.8663922,18.2772286,16.514957,0.014980
43,162.8664544,18.2770828,0.5008056,162.8664007,18.2772122,16.481298,0.014524
44,162.8912536,-17.3816801,0E+00,0E+00,0E+00,0E+00,0E+00
45,163.9721251,-16.8707769,0E+00,0E+00,0E+00,0E+00,0E+00
46,163.9729861,-16.8711523,0E+00,0E+00,0E+00,0E+00,0E+00
47,163.2949040,23.9268415,0.1633378,163.2949196,23.9268846,16.188108,0.011172
48,162.6966788,24.3768971,0.1556224,162.6967236,24.3769115,16.685753,0.019646
49,162.8510196,54.2335259,0.0082604,162.8510234,54.2335264,17.332890,0.030678
50,163.8008588,54.7245183,0E+00,0E+00,0E+00,0E+00,0E+00
51,163.8009695,54.7246197,0E+00,0E+00,0E+00,0E+00,0E+00
52,163.5938370,32.7138994,0.2090182,163.5939011,32.7139209,15.323954,0.006217
53,162.9750618,33.7014110,7.7141598,162.9727334,33.7023273,13.117421,0.001943
54,164.7696770,42.5738552,0.2193790,164.7696956,42.5739146,15.889015,0.010360
55,163.9760104,-8.9541938,0E+00,0E+00,0E+00,0E+00,0E+00
56,164.1030270,-8.3722184,0E+00,0E+00,0E+00,0E+00,0E+00
57,164.7631694,26.8020557,0.3892861,164.7632504,26.8021361,16.018871,0.010766
58,163.4549335,-46.0441770,0E+00,0E+00,0E+00,0E+00,0E+00
59,163.9902912,32.3444603,0.3441737,163.9903056,32.3445551,15.927244,0.009703
60,164.5213935,36.1743990,0.1926835,164.5214581,36.1744110,15.713451,0.008847
61,163.7023453,48.6170910,0.2529527,163.7022620,48.6171347,15.699344,0.008900
