# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err
#,,,,,,,
# Results of Query: Database UHSDR1 16/02/21 03:40,,,,,,,
# select #upload.*,#proxtab.distance,ra,dec,jAperMag3,jAperMag3Err from,,
#  #upload left outer join #proxtab on #upload.upload_id=upid left ,,,,,,,
# outer join uhsSource on uhsSource.sourceID=archiveID   order by ,,,,,,,
# #upload.upload_id,,,,,,,
# CROSSID radius: 10.0,,,,,,,
# CROSSID NEARBY or NEAREST 0 or 1: 0,,,,,,,
# CROSSID where: ,,,,,,,
# Column Headers at start of file AND below,,,,,,,
#,,,,,,,
# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err
1,359.9060865,-8.8376156,0E+00,0E+00,0E+00,0E+00,0E+00
2,0.2950153,-9.5377627,0E+00,0E+00,0E+00,0E+00,0E+00
3,0.0022411,-15.5800395,0E+00,0E+00,0E+00,0E+00,0E+00
4,359.6104858,-15.8828579,0E+00,0E+00,0E+00,0E+00,0E+00
5,359.2261652,-15.8893802,0E+00,0E+00,0E+00,0E+00,0E+00
6,359.2264114,-15.8890041,0E+00,0E+00,0E+00,0E+00,0E+00
7,359.9730341,-28.1659850,0E+00,0E+00,0E+00,0E+00,0E+00
8,0.5730516,-29.6552676,0E+00,0E+00,0E+00,0E+00,0E+00
9,359.9997341,-30.0244753,0E+00,0E+00,0E+00,0E+00,0E+00
10,0.3926801,-33.2114349,0E+00,0E+00,0E+00,0E+00,0E+00
11,359.9551189,-33.0254251,0E+00,0E+00,0E+00,0E+00,0E+00
12,0.0598613,-33.2044786,0E+00,0E+00,0E+00,0E+00,0E+00
13,0.2037061,-35.1589444,0E+00,0E+00,0E+00,0E+00,0E+00
14,0.6674858,-34.2303859,0E+00,0E+00,0E+00,0E+00,0E+00
15,0.5463060,-43.1665929,0E+00,0E+00,0E+00,0E+00,0E+00
16,359.1865902,-48.2490215,0E+00,0E+00,0E+00,0E+00,0E+00
17,0.4978165,-49.4362663,0E+00,0E+00,0E+00,0E+00,0E+00
18,1.1949932,-55.8713976,0E+00,0E+00,0E+00,0E+00,0E+00
19,359.6559676,-55.4997535,0E+00,0E+00,0E+00,0E+00,0E+00
24,0.6436194,-59.3146730,0E+00,0E+00,0E+00,0E+00,0E+00
25,359.9603813,-62.3483214,0E+00,0E+00,0E+00,0E+00,0E+00
26,359.3049101,-63.1409354,0E+00,0E+00,0E+00,0E+00,0E+00
27,358.9726543,-67.0034857,0E+00,0E+00,0E+00,0E+00,0E+00
28,359.8123606,-70.1848442,0E+00,0E+00,0E+00,0E+00,0E+00
29,358.8304079,-69.7332805,0E+00,0E+00,0E+00,0E+00,0E+00
30,1.9599077,-70.9914949,0E+00,0E+00,0E+00,0E+00,0E+00
31,0.1973813,-76.5169744,0E+00,0E+00,0E+00,0E+00,0E+00
32,2.8167301,-79.8116072,0E+00,0E+00,0E+00,0E+00,0E+00
33,1.7411916,-81.1652272,0E+00,0E+00,0E+00,0E+00,0E+00
34,4.5913376,-82.1203964,0E+00,0E+00,0E+00,0E+00,0E+00
35,4.6183300,-82.1204180,0E+00,0E+00,0E+00,0E+00,0E+00
36,3.5213432,-83.4286524,0E+00,0E+00,0E+00,0E+00,0E+00
37,356.0341543,-82.7825370,0E+00,0E+00,0E+00,0E+00,0E+00
38,0.2945471,-86.1304147,0E+00,0E+00,0E+00,0E+00,0E+00
39,359.4947484,25.8935638,0.1478270,359.4947790,25.8935942,17.182950,0.026405
39,359.4947484,25.8935638,0.1150705,359.4947752,25.8935848,17.239693,0.025409
39,359.4947484,25.8935638,0.1800328,359.4948026,25.8935749,17.161486,0.025157
40,0.5472544,31.3832964,0.6849553,0.5472941,31.3834836,15.299121,0.006446
40,0.5472544,31.3832964,9.7520523,0.5499128,31.3818174,19.982328,0.274205
41,359.9596424,47.7619825,4.1468787,359.9612712,47.7616246,11.036968,0.000734
41,359.9596424,47.7619825,8.4052905,359.9619733,47.7602516,17.873934,0.044546
42,0.6243126,63.8713870,0E+00,0E+00,0E+00,0E+00,0E+00
43,358.6487934,74.9426407,0E+00,0E+00,0E+00,0E+00,0E+00
44,1.9618847,75.6078636,0E+00,0E+00,0E+00,0E+00,0E+00
45,1.3736079,-13.5424838,0E+00,0E+00,0E+00,0E+00,0E+00
46,1.0577415,-17.4685211,0E+00,0E+00,0E+00,0E+00,0E+00
47,2.2071860,-17.6569328,0E+00,0E+00,0E+00,0E+00,0E+00
48,2.1847594,1.4574768,0E+00,0E+00,0E+00,0E+00,0E+00
49,1.0584161,4.7399277,0E+00,0E+00,0E+00,0E+00,0E+00
50,1.5966078,18.0023762,3.3989869,1.5956366,18.0025718,16.927084,0.023301
50,1.5966078,18.0023762,0.6991191,1.5966743,18.0025598,16.608880,0.018017
51,1.5195036,-19.0978112,0E+00,0E+00,0E+00,0E+00,0E+00
52,1.0634337,-21.6188116,0E+00,0E+00,0E+00,0E+00,0E+00
53,1.7752233,-23.3334297,0E+00,0E+00,0E+00,0E+00,0E+00
54,2.1861155,-26.7498411,0E+00,0E+00,0E+00,0E+00,0E+00
55,2.5275637,-31.7412683,0E+00,0E+00,0E+00,0E+00,0E+00
56,1.8535190,-31.4793058,0E+00,0E+00,0E+00,0E+00,0E+00
57,0.9665806,-31.7820589,0E+00,0E+00,0E+00,0E+00,0E+00
58,1.8681854,29.2374082,3.0314323,1.8678114,29.2381844,10.774750,0.000659
59,1.8679368,29.2376949,1.8058224,1.8678114,29.2381844,10.774750,0.000659
60,2.4943031,-37.7282713,0E+00,0E+00,0E+00,0E+00,0E+00
61,1.8102623,37.7257047,0.0262697,1.8102575,37.7257109,15.258821,0.006376
62,1.3242869,37.6219834,0.7469146,1.3240598,37.6220868,17.584925,0.041690
63,1.3239426,37.6219468,0.6047668,1.3240598,37.6220868,17.584925,0.041690
64,1.7322182,-42.7572143,0E+00,0E+00,0E+00,0E+00,0E+00
65,1.1301467,-45.9685126,0E+00,0E+00,0E+00,0E+00,0E+00
66,2.9418915,-47.2185277,0E+00,0E+00,0E+00,0E+00,0E+00
67,2.6245158,45.9281353,0.7183780,2.6246869,45.9279751,18.037918,0.054171
67,2.6245158,45.9281353,3.0413851,2.6238068,45.9288212,15.214883,0.006295
67,2.6245158,45.9281353,5.3237545,2.6227556,45.9289647,17.712801,0.040966
68,1.6179985,46.5192859,0.1961067,1.6180763,46.5192957,16.427757,0.016031
68,1.6179985,46.5192859,7.4275983,1.6159105,46.5207667,16.202402,0.013478
69,3.3092405,-50.3534861,0E+00,0E+00,0E+00,0E+00,0E+00
70,2.0226604,-51.4438538,0E+00,0E+00,0E+00,0E+00,0E+00
71,1.3358821,-50.9359952,0E+00,0E+00,0E+00,0E+00,0E+00
72,2.0879122,52.0685204,5.8565940,2.0890356,52.0670474,17.459540,0.032984
72,2.0879122,52.0685204,0.3656334,2.0879107,52.0686220,16.505314,0.015355
73,1.3909773,-54.7446775,0E+00,0E+00,0E+00,0E+00,0E+00
74,3.5002621,-56.5311816,0E+00,0E+00,0E+00,0E+00,0E+00
75,1.5206779,-59.6854941,0E+00,0E+00,0E+00,0E+00,0E+00
76,2.8755286,59.1394271,0.9188426,2.8750323,59.1394089,10.701192,0.000659
76,2.8755286,59.1394271,5.4146891,2.8782582,59.1388777,17.745430,0.048501
77,2.8756281,59.1394054,1.1001710,2.8750323,59.1394089,10.701192,0.000659
77,2.8756281,59.1394054,5.2152466,2.8782582,59.1388777,17.745430,0.048501
78,3.6969624,-1.9083289,0E+00,0E+00,0E+00,0E+00,0E+00
79,2.4426980,-4.0860344,0E+00,0E+00,0E+00,0E+00,0E+00
80,3.4493603,-4.9609554,0E+00,0E+00,0E+00,0E+00,0E+00
81,3.7105619,-8.6401579,0E+00,0E+00,0E+00,0E+00,0E+00
