upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err,RA,Dec,PmrA,PMDEC,sigPMRA,sigPMDEC,w1mpro_pm,w1sigmpro_pm,w2mpro_pm,w2sigmpro_pm
0,359.9060865,-8.8376156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.9061204,-8.8376156,0.12063,0.00614,0.0145,0.0145,15.239,0.019,14.664,0.022
1,0.2950153,-9.5377627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2951462,-9.5377627,0.46477,-0.28417,0.0977,0.0943,18.556,0.2,16.111,0.07200000000000001
2,0.0022411,-15.5800395,0.4044868,0.0021335,-15.5800828,11.491984,0.000538,-999999500.0,-999999500.0,10.834589,0.000728,0.0022392,-15.5800395,-0.0066,0.26086,0.06523999999999999,0.0038,9.416,0.011,9.222,0.008
3,359.6104858,-15.8828579,0.4136412999999999,359.6105029,-15.882744199999998,15.771415,0.006164,-999999500.0,-999999500.0,15.139064,0.011697,359.6105229,-15.8828579,0.1283,-0.04228,0.0145,0.0136,14.898,0.018000000000000002,14.948,0.034
4,359.2261652,-15.8893802,1.2699018999999998,359.22625120000015,-15.889037300000002,15.557752,0.004861,-999999500.0,-999999500.0,15.566377,0.017025,359.22604069999994,-15.8893802,-0.43102,-0.6916800000000001,0.0149,0.0148,15.574000000000002,0.028,13.83,0.022
5,359.2264114,-15.8890041,0.5674999,359.22625120000015,-15.889037300000002,15.557752,0.004861,-999999500.0,-999999500.0,15.566377,0.017025,359.2262667,-15.8890041,-0.5010399999999999,-0.79827,0.0242,0.0251,16.313,0.036000000000000004,14.550999999999998,0.022
6,359.9730341,-28.165985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.973032,-28.165985,-0.0067,-0.2852,0.0333,0.0357,17.051,0.055,15.034,0.031
7,0.5730516,-29.6552676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5730951,-29.655267600000002,0.13613,-0.00823,0.0094,0.0087,14.302,0.014,14.119000000000002,0.016
8,359.9997341,-30.0244753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.9998388,-30.024475300000002,0.32629,-0.3001,0.0099,0.0093,14.405,0.015,14.196,0.018000000000000002
9,0.3926801,-33.2114349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927497,-33.2114349,0.20955,-0.02961,0.014,0.0129,15.16,0.018000000000000002,14.851,0.025
10,359.9551189,-33.0254251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.9551765,-33.0254251,0.17384000000000002,-0.09089,0.0195,0.0173,15.554,0.02,15.297,0.035
11,0.05986130000000001,-33.2044786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059892,-33.2044786,0.09241,-0.25179,0.0274,0.0257,16.037,0.027000000000000003,15.741,0.058
12,0.2037061,-35.1589444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036675,-35.158944399999996,-0.11358,-0.12509,0.0105,0.0096,14.619000000000002,0.015,14.499,0.02
13,0.6674858,-34.2303859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6675439000000001,-34.2303859,0.17305,-1.03842,0.0148,0.0151,14.854,0.017,14.74,0.026
14,0.5463060000000001,-43.1665929,2.9544718,0.5469348,-43.1672735,12.546598,0.001577,12.474844,0.001379,12.455741,0.001994,0.5463060000000001,-43.1665929,0.0,0.0,0.1044,0.0977,18.901,,18.31,
15,359.1865902,-48.24902150000001,8.9424326,359.1829162,-48.2494515,19.139112,0.076467,19.002356,0.156953,19.390059,0.44432,359.1867964,-48.249021500000005,0.49421,-0.24334,0.0924,0.0876,18.843,0.214,16.066,0.057
16,0.4978165,-49.43626629999999,0.31629320000000005,0.4978613,-49.4361834,15.119726000000002,0.0041270000000000005,14.664763,0.005525,14.369131,0.007231,0.4978132000000001,-49.43626629999999,-0.00775,-0.10673,0.0085,0.0075,14.202,0.012,14.001,0.014
