# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err
#,,,,,,,,,,,
# Results of Query: Database VHSDR6 20/02/21 04:33,,,,,,,,,,,
# select #upload.*,#proxtab.distance,ra,dec,jAperMag3,jAperMag3Err, ,,,,,
# hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err from  #upload left,,,,,,,,
# outer join #proxtab on #upload.upload_id=upid left outer join ,,,,,,,,,,,
# vhsSource on vhsSource.sourceID=archiveID   order by ,,,,,,,,,,,
# #upload.upload_id,,,,,,,,,,,
# CROSSID radius: 10.0,,,,,,,,,,,
# CROSSID NEARBY or NEAREST 0 or 1: 0,,,,,,,,,,,
# CROSSID where: ,,,,,,,,,,,
# Column Headers at start of file AND below,,,,,,,,,,,
#,,,,,,,,,,,
# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err
1,359.9060865,-8.8376156,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
2,0.2950153,-9.5377627,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
3,0.0022411,-15.5800395,9.6492825,0.0049568,-15.5794552,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
3,0.0022411,-15.5800395,0.4044868,0.0021335,-15.5800828,11.491984,0.000538,-9.999995E+08,-9.999995E+08,10.834589,0.000728
4,359.6104858,-15.8828579,3.5731469,359.6114505,-15.8832103,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
4,359.6104858,-15.8828579,0.4232726,359.6105052,-15.8827418,15.788913,0.005764,-9.999995E+08,-9.999995E+08,15.135970,0.011873
4,359.6104858,-15.8828579,0.4136413,359.6105029,-15.8827442,15.771415,0.006164,-9.999995E+08,-9.999995E+08,15.139064,0.011697
5,359.2261652,-15.8893802,1.2699019,359.2262512,-15.8890373,15.557752,0.004861,-9.999995E+08,-9.999995E+08,15.566377,0.017025
6,359.2264114,-15.8890041,0.5674999,359.2262512,-15.8890373,15.557752,0.004861,-9.999995E+08,-9.999995E+08,15.566377,0.017025
7,359.9730341,-28.1659850,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
8,0.5730516,-29.6552676,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
9,359.9997341,-30.0244753,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
10,0.3926801,-33.2114349,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
11,359.9551189,-33.0254251,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
