# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err
#,,,,,,,,,,,
# Results of Query: Database VHSDR6 20/02/21 04:37,,,,,,,,,,,
# select #upload.*,#proxtab.distance,ra,dec,jAperMag3,jAperMag3Err, ,,,,,
# hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err from  #upload left,,,,,,,,
# outer join #proxtab on #upload.upload_id=upid left outer join ,,,,,,,,,,,
# vhsSource on vhsSource.sourceID=archiveID   order by ,,,,,,,,,,,
# #upload.upload_id,,,,,,,,,,,
# CROSSID radius: 10.0,,,,,,,,,,,
# CROSSID NEARBY or NEAREST 0 or 1: 0,,,,,,,,,,,
# CROSSID where: ,,,,,,,,,,,
# Column Headers at start of file AND below,,,,,,,,,,,
#,,,,,,,,,,,
# upload_ID,upload_RA,upload_Dec,distance,ra,dec,jAperMag3,jAperMag3Err,hAperMag3,hAperMag3Err,ksAperMag3,ksAperMag3Err
1,161.5715240,23.2457119,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
2,160.2575083,58.7095666,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
3,161.6827137,-12.9284650,0.5941419,161.6828329,-12.9283478,15.061884,0.003817,14.598412,0.004560,14.387593,0.008975
4,161.1908416,-14.2154060,3.5118991,161.1913450,-14.2162507,15.615978,0.005551,15.124837,0.008234,14.885620,0.012634
4,161.1908416,-14.2154060,0.2127681,161.1908230,-14.2154623,-9.999995E+08,-9.999995E+08,18.881853,0.235797,17.657999,0.151787
5,161.0144089,21.0858642,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
6,161.9663712,21.4041472,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
7,161.2391316,-6.9814010,2.3825625,161.2384651,-6.9813824,18.708820,0.142484,18.252302,0.172339,17.558474,0.172230
7,161.2391316,-6.9814010,2.1315727,161.2397161,-6.9812825,16.092026,0.013854,15.701699,0.017212,15.483139,0.026285
8,162.0756402,-19.4263547,0.7346265,162.0754809,-19.4262166,14.817552,0.002862,-9.999995E+08,-9.999995E+08,13.788215,0.004680
8,162.0756402,-19.4263547,6.6452721,162.0774263,-19.4271098,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
8,162.0756402,-19.4263547,4.7612771,162.0766280,-19.4272935,19.442055,0.114852,-9.999995E+08,-9.999995E+08,17.749784,0.146412
8,162.0756402,-19.4263547,7.1789607,162.0755071,-19.4283449,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
9,161.1863720,20.3656093,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
10,161.6928320,-41.7780324,0.8207488,161.6925792,-41.7779042,15.208528,0.004409,-9.999995E+08,-9.999995E+08,14.982333,0.014111
10,161.6928320,-41.7780324,0.7543033,161.6926024,-41.7779117,15.194204,0.005035,-9.999995E+08,-9.999995E+08,14.983519,0.013811
11,161.3279862,-41.7135891,0.7394992,161.3282434,-41.7136621,17.407413,0.030450,-9.999995E+08,-9.999995E+08,16.290312,0.043001
11,161.3279862,-41.7135891,7.7297035,161.3252831,-41.7143231,19.545948,0.209682,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
12,161.5681339,30.0970277,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
13,161.1615593,-1.8915647,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
14,160.9372897,-44.9142180,0.6244204,160.9375283,-44.9141789,17.214306,0.024661,-9.999995E+08,-9.999995E+08,15.674316,0.023097
14,160.9372897,-44.9142180,5.2171767,160.9379944,-44.9155786,19.444847,0.176256,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
14,160.9372897,-44.9142180,0.6709368,160.9375483,-44.9141835,17.203577,0.023980,-9.999995E+08,-9.999995E+08,15.671395,0.023852
14,160.9372897,-44.9142180,5.4621733,160.9380195,-44.9156445,19.279430,0.148577,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
14,160.9372897,-44.9142180,7.8334053,160.9400847,-44.9133142,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,17.869373,0.174032
15,161.7017946,-0.2798213,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
16,161.8582622,45.8377437,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
17,161.8179874,-47.7953579,2.4509668,161.8170040,-47.7955224,18.183464,0.086230,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
17,161.8179874,-47.7953579,3.4227164,161.8193034,-47.7957077,14.362916,0.004198,-9.999995E+08,-9.999995E+08,13.694183,0.006544
17,161.8179874,-47.7953579,0.1092695,161.8179582,-47.7953347,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,16.937105,0.113775
17,161.8179874,-47.7953579,3.5029801,161.8193395,-47.7957069,14.284155,0.004626,-9.999995E+08,-9.999995E+08,13.694144,0.006014
17,161.8179874,-47.7953579,2.3483753,161.8170494,-47.7955267,18.068613,0.094838,-9.999995E+08,-9.999995E+08,17.608925,0.190695
18,162.2362812,-71.5605345,4.5186657,162.2376554,-71.5593570,18.136227,0.078291,-9.999995E+08,-9.999995E+08,17.710098,0.267706
18,162.2362812,-71.5605345,1.1168781,162.2359604,-71.5608277,14.978431,0.005270,-9.999995E+08,-9.999995E+08,14.187856,0.011209
18,162.2362812,-71.5605345,6.6642416,162.2350110,-71.5623416,16.888409,0.025609,-9.999995E+08,-9.999995E+08,16.635600,0.100026
19,162.7642445,-50.8798938,0.3448718,162.7642887,-50.8799854,11.243615,0.000514,-9.999995E+08,-9.999995E+08,10.539047,0.000699
20,162.5765192,-68.5152193,1.1683597,162.5756334,-68.5152278,17.593110,0.043358,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
20,162.5765192,-68.5152193,9.1534645,162.5700460,-68.5161382,18.246233,0.078246,-9.999995E+08,-9.999995E+08,17.359250,0.140393
20,162.5765192,-68.5152193,5.2832516,162.5775462,-68.5166379,15.812234,0.009180,-9.999995E+08,-9.999995E+08,15.391210,0.023611
21,163.1404263,40.7205496,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
22,162.6989204,50.9348766,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
23,162.6868539,-9.3496485,1.0691612,162.6868645,-9.3493517,16.037167,0.008697,15.295173,0.009655,14.693330,0.010244
24,162.5527479,8.8547939,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
25,162.5434331,-6.6545749,8.6462276,162.5457823,-6.6540059,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
25,162.5434331,-6.6545749,7.9123715,162.5419253,-6.6561836,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
25,162.5434331,-6.6545749,0.9013575,162.5435046,-6.6543348,11.421290,0.000605,11.634580,0.000795,10.917346,0.000902
25,162.5434331,-6.6545749,6.6397699,162.5425094,-6.6529749,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08,-9.999995E+08
25,162.5434331,-6.6545749,5.8294321,162.5446412,-6.6556622,18.048035,0.047207,17.762690,0.062648,-9.999995E+08,-9.999995E+08
25,162.5434331,-6.6545749,9.3366785,162.5431209,-6.6520000,-9.999995E+08,-9.999995E+08,19.088150,0.209219,-9.999995E+08,-9.999995E+08
25,162.5434331,-6.6545749,8.9084406,162.5426927,-6.6522121,-9.999995E+08,-9.999995E+08,18.871574,0.171632,-9.999995E+08,-9.999995E+08
25,162.5434331,-6.6545749,9.1590659,162.5412154,-6.6533018,-9.999995E+08,-9.999995E+08,19.186892,0.229000,-9.999995E+08,-9.999995E+08
25,162.5434331,-6.6545749,8.5631045,162.5411489,-6.6538604,-9.999995E+08,-9.999995E+08,18.846308,0.167694,-9.999995E+08,-9.999995E+08
25,162.5434331,-6.6545749,8.5651186,162.5428207,-6.6568750,-9.999995E+08,-9.999995E+08,18.851164,0.168447,-9.999995E+08,-9.999995E+08
26,160.5991480,-83.8229965,1.9285167,160.5947310,-83.8227493,16.588070,0.014824,-9.999995E+08,-9.999995E+08,15.803021,0.036644
27,163.0182681,6.2916952,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
28,163.8039421,-55.3170783,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
29,162.8803257,-14.6714326,0.8635137,162.8805736,-14.6714282,17.268848,0.019465,16.420826,0.019839,15.878532,0.029228
30,163.2027509,15.8425894,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
31,162.6043086,53.1596735,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
32,163.1225129,-28.8519162,0.0688705,163.1225231,-28.8519331,15.706233,0.006351,-9.999995E+08,-9.999995E+08,14.704828,0.011575
33,163.5880087,22.4324226,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
34,162.6896494,28.1197067,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
35,162.3351747,-14.3393253,0.3826506,162.3352786,-14.3393595,17.363914,0.022711,16.416180,0.024601,15.648213,0.025215
36,162.5442304,-14.0769539,0.6869190,162.5444235,-14.0769174,17.032610,0.016846,16.756502,0.032454,16.357128,0.046787
